id,x1,x2
1,3.099,1.668
1,3.059,1.755
1,2.336,2.454
1,1.159,1.480
1,2.479,1.599
1,2.183,4.127
1,2.067,3.071
1,2.758,3.126
1,2.798,2.677
1,2.624,3.513
1,1.966,2.405
1,2.363,1.673
1,2.152,4.046
1,1.893,2.430
1,1.652,1.306
1,1.346,1.609
1,4.354,2.730
1,0.949,3.858
1,2.637,1.259
1,0.568,0.335
1,0.197,0.854
1,2.079,4.704
1,0.222,2.290
1,3.793,3.295
1,1.158,2.867
1,2.153,3.094
1,2.526,3.250
1,1.296,3.039
1,3.674,2.005
1,2.601,1.741
1,1.025,2.270
1,1.670,2.533
1,2.628,1.975
1,1.819,2.032
1,3.438,1.004
1,1.909,1.736
1,1.544,1.680
1,2.842,2.484
1,1.464,1.091
1,2.749,3.107
1,-0.200,2.205
1,3.595,1.904
1,4.081,1.574
1,3.327,1.532
1,1.937,-0.115
1,2.848,1.433
1,1.367,2.836
1,2.698,1.249
1,2.372,2.251
1,2.440,1.753
2,-0.311,-0.752
2,-1.072,-0.131
2,1.131,0.231
2,-1.895,-1.447
2,-0.926,-1.328
2,-0.545,-1.951
2,-1.013,-0.212
2,-1.593,-0.286
2,-0.343,-0.401
2,-3.063,-0.413
2,-0.538,0.783
2,1.110,-0.706
2,0.325,2.800
2,0.072,-0.521
2,-0.082,-0.023
2,-1.095,-0.255
2,-2.303,-0.718
2,-0.811,-0.305
2,-2.055,-0.570
2,-0.858,-0.581
2,-0.610,-0.710
2,0.280,-0.914
2,0.932,0.337
2,-1.937,0.774
2,1.780,-2.038
2,-2.038,-0.596
2,-0.964,-0.195
2,-0.853,-1.248
2,0.480,0.119
2,-0.618,-0.529
2,-1.873,-0.106
2,-2.075,0.533
2,-0.165,-1.705
2,0.405,0.467
2,-0.829,-0.664
2,-1.917,-1.534
2,-1.678,0.727
2,-0.572,0.449
2,-0.591,-1.376
2,1.103,-2.104
2,-1.477,-1.460
2,0.326,0.387
2,-0.682,-1.329
2,-2.161,1.670
2,-0.752,-1.587
2,-1.862,-1.580
2,-0.796,-1.020
2,-1.419,-1.555
2,-2.256,-0.581
2,-0.771,-0.277
3,5.476,2.506
3,5.110,3.710
3,5.666,2.808
3,3.382,2.878
3,5.658,3.837
3,4.418,3.000
3,4.028,4.269
3,3.328,3.751
3,4.371,2.459
3,2.985,1.765
3,4.187,2.668
3,2.313,3.518
3,5.194,4.473
3,4.518,4.072
3,3.741,2.637
3,3.925,1.913
3,2.768,3.149
3,3.436,3.344
3,5.183,1.742
3,1.634,1.927
3,5.776,3.163
3,2.642,2.796
3,3.531,3.522
3,4.157,2.851
3,4.181,4.186
3,1.835,2.473
3,4.233,3.442
3,2.593,3.695
3,4.070,2.751
3,1.794,3.201
3,1.758,0.252
3,4.017,2.888
3,4.653,4.750
3,2.328,2.109
3,4.277,3.404
3,1.750,1.439
3,3.894,3.120
3,2.565,2.551
3,2.977,1.992
3,2.804,1.763
3,2.687,2.904
3,3.710,2.203
3,2.417,3.419
3,3.845,2.941
3,4.154,6.466
3,3.305,3.763
3,3.569,3.552
3,3.579,3.032
3,4.438,3.331
3,2.304,3.377
4,-0.214,-1.123
4,0.035,-2.077
4,-0.796,-1.045
4,1.995,-0.601
4,-1.136,-1.045
4,0.066,-0.740
4,1.370,-1.665
4,0.105,-2.027
4,0.778,-3.117
4,-0.425,-1.299
4,2.150,-2.441
4,2.042,-1.534
4,1.062,-2.933
4,-0.261,0.196
4,-2.515,-2.186
4,-0.580,-0.471
4,1.308,-2.219
4,-1.146,-3.752
4,0.547,-1.934
4,-0.380,-3.430
4,0.408,-0.766
4,1.556,0.030
4,0.308,-2.709
4,1.102,-1.376
4,2.306,-3.126
4,1.467,-2.460
4,-0.626,-2.028
4,2.626,-1.843
4,-1.489,-2.968
4,2.118,-1.272
4,1.086,-0.971
4,0.673,-3.376
4,0.295,-1.927
4,-0.754,-2.591
4,0.972,-0.772
4,0.724,-0.733
4,1.041,-2.860
4,1.495,-1.634
4,0.629,-1.422
4,0.265,-2.058
4,0.344,-2.272
4,1.333,-1.746
4,0.859,0.496
4,0.215,-2.304
4,0.458,0.076
4,0.882,-2.090
4,2.467,-2.318
4,1.264,-3.597
4,0.411,-1.752
4,-0.495,-2.396
5,2.424,1.347
5,0.720,1.442
5,0.979,0.404
5,3.641,1.843
5,-0.161,-0.354
5,1.158,0.776
5,1.652,1.327
5,-0.829,0.760
5,-1.472,2.175
5,1.520,0.909
5,0.967,1.055
5,0.984,0.390
5,3.001,1.487
5,2.904,-0.460
5,2.356,1.059
5,2.198,1.713
5,0.990,0.166
5,1.669,-1.588
5,2.241,1.185
5,0.769,0.716
5,2.305,2.009
5,2.185,2.159
5,1.337,1.465
5,0.992,1.359
5,1.914,0.619
5,2.048,0.070
5,1.496,1.771
5,1.479,3.011
5,1.634,0.260
5,0.175,-0.093
5,-0.103,1.082
5,2.174,2.204
5,2.058,0.327
5,0.978,-0.226
5,0.735,0.656
5,1.132,1.253
5,-0.241,-0.393
5,1.570,2.426
5,-0.128,-0.794
5,1.587,0.672
5,1.200,0.629
5,2.635,-0.166
5,1.967,0.007
5,1.661,-0.890
5,4.033,1.429
5,2.404,1.172
5,1.049,0.440
5,1.767,0.948
5,-0.325,0.652
5,0.832,-1.254
6,-2.198,0.154
6,-0.327,-0.493
6,0.681,-1.843
6,-1.200,-1.654
6,-0.306,1.074
6,-1.415,-1.478
6,-0.448,-1.689
6,-2.437,-1.660
6,-0.198,-0.708
6,-0.826,-0.829
6,0.749,-0.266
6,-2.522,0.119
6,-1.130,-0.329
6,-0.298,0.100
6,-0.813,0.253
6,-1.929,-0.543
6,-1.833,-0.960
6,-0.798,-1.205
6,-1.343,-0.420
6,-2.474,-1.234
6,-1.416,-1.383
6,-1.581,-0.672
6,-0.248,-2.226
6,-1.408,-0.439
6,0.334,-0.180
6,-1.932,1.410
6,-1.123,-0.777
6,-2.083,-0.705
6,-1.004,-0.845
6,-2.506,0.452
6,-0.140,0.723
6,-3.338,-1.148
6,0.108,-0.697
6,-1.081,-1.367
6,-2.884,-0.745
6,-2.314,-0.747
6,0.656,-0.259
6,-1.413,-0.767
6,-1.191,-0.801
6,0.704,0.144
6,-0.032,0.846
6,0.795,-0.521
6,-2.024,0.013
6,-1.487,0.109
6,-1.476,-0.236
6,-0.697,1.253
6,-1.381,-0.299
6,0.506,-0.262
6,-0.913,-1.702
6,-0.758,0.137
7,1.362,1.727
7,1.033,3.259
7,0.746,2.006
7,2.629,3.864
7,0.797,3.020
7,1.054,4.858
7,1.210,5.141
7,1.587,1.375
7,2.795,5.181
7,2.590,4.097
7,1.777,4.148
7,2.328,3.533
7,1.832,1.787
7,2.159,3.554
7,1.764,3.522
7,3.035,2.158
7,3.018,3.580
7,2.775,2.482
7,0.442,3.235
7,2.916,3.841
7,1.864,2.577
7,2.390,2.667
7,2.713,2.614
7,-0.594,5.122
7,1.118,1.927
7,3.027,3.356
7,1.812,4.256
7,1.814,2.015
7,2.138,3.762
7,2.407,3.567
7,0.872,3.362
7,1.298,2.631
7,2.038,3.346
7,-1.101,4.081
7,3.519,4.771
7,0.066,3.709
7,1.277,2.147
7,1.748,3.054
7,1.609,3.371
7,0.958,3.864
7,1.415,1.724
7,1.518,2.516
7,1.651,2.352
7,2.369,4.029
7,1.183,3.569
7,1.762,5.066
7,2.144,1.301
7,1.198,4.871
7,2.634,0.983
7,1.725,2.056
8,-0.405,-0.196
8,-0.278,-0.106
8,1.882,-1.362
8,0.936,-2.126
8,-1.073,-1.121
8,0.884,0.048
8,1.898,-1.245
8,1.636,0.103
8,0.626,-1.647
8,1.201,-1.355
8,0.319,1.083
8,1.451,-0.963
8,1.683,-0.412
8,0.578,-3.546
8,0.075,-0.052
8,0.080,-0.521
8,-1.210,0.904
8,0.647,-1.924
8,0.282,-0.560
8,-1.284,-1.328
8,-0.604,0.858
8,1.916,0.758
8,0.271,-0.973
8,1.204,-1.206
8,0.655,-2.348
8,1.805,-0.580
8,1.001,0.437
8,1.146,-0.698
8,2.989,0.662
8,1.183,-0.245
8,1.676,-0.219
8,1.087,0.172
8,-0.327,-0.998
8,-0.851,-0.431
8,1.615,-2.297
8,-0.289,-2.820
8,0.950,-2.282
8,-0.924,0.900
8,-0.816,-1.386
8,1.516,-1.145
8,0.344,0.026
8,-0.160,-1.188
8,0.030,-0.477
8,-0.666,0.345
8,2.206,-0.971
8,1.738,0.403
8,0.744,-2.260
8,-0.156,-1.346
8,-1.555,-1.977
8,0.040,-0.003
9,2.868,-0.293
9,3.761,0.197
9,2.943,-1.788
9,2.410,0.046
9,3.299,-0.089
9,2.609,0.508
9,1.751,-0.333
9,1.957,-2.139
9,2.647,-2.106
9,4.150,-1.504
9,1.741,-1.119
9,3.860,1.127
9,1.008,-1.113
9,2.933,-0.157
9,0.150,-0.088
9,3.895,-0.418
9,0.810,-0.324
9,2.154,0.337
9,3.927,-0.459
9,5.488,-1.657
9,3.089,-3.293
9,1.904,-0.593
9,3.886,-1.462
9,2.809,0.775
9,2.908,0.993
9,1.789,-0.948
9,4.205,0.567
9,2.419,0.037
9,4.514,0.771
9,4.062,-2.200
9,4.616,-0.842
9,3.688,-2.490
9,2.353,0.746
9,2.467,0.467
9,4.350,-1.736
9,4.283,-0.604
9,2.721,1.154
9,2.654,0.175
9,2.154,0.361
9,3.562,-2.657
9,3.697,-0.956
9,4.015,-0.211
9,3.194,-1.285
9,3.569,0.479
9,3.506,-0.507
9,4.217,0.589
9,2.117,-0.608
9,2.535,-0.834
9,4.122,-0.488
9,2.939,0.225
10,-1.486,0.380
10,0.308,0.927
10,1.491,0.924
10,1.478,-0.155
10,-0.831,0.608
10,0.264,0.280
10,0.692,0.343
10,-1.079,2.883
10,1.258,1.051
10,-1.083,-0.131
10,1.027,2.499
10,-0.651,1.071
10,0.336,1.007
10,1.185,0.047
10,0.101,0.887
10,0.554,1.247
10,1.237,1.505
10,0.107,1.199
10,0.500,1.249
10,1.491,-0.456
10,1.234,0.989
10,1.084,1.825
10,0.583,0.041
10,0.862,1.787
10,2.903,2.116
10,-0.302,-0.713
10,-0.388,-0.409
10,1.780,0.727
10,0.950,1.805
10,0.147,-0.323
10,-0.875,3.300
10,0.305,1.936
10,-0.261,1.321
10,-0.216,1.396
10,-0.678,2.041
10,0.526,1.595
10,1.602,-1.517
10,0.685,1.415
10,-0.119,1.205
10,0.448,1.189
10,-0.655,1.050
10,3.013,0.466
10,0.600,0.797
10,2.620,2.242
10,0.362,2.482
10,1.358,1.101
10,1.604,0.519
10,0.496,0.763
10,0.718,0.945
10,0.840,1.979
11,-2.300,-2.939
11,0.344,-4.028
11,0.158,-3.443
11,0.184,-2.785
11,-0.068,-3.779
11,2.222,-4.719
11,-0.814,-4.660
11,0.962,-5.180
11,0.394,-3.535
11,-0.843,-2.440
11,0.952,-2.268
11,1.135,-4.700
11,0.220,-5.094
11,-0.984,-4.448
11,-0.876,-4.963
11,0.710,-3.809
11,-0.635,-1.843
11,-0.093,-3.767
11,-0.243,-3.826
11,0.919,-5.071
11,-2.809,-2.765
11,-1.360,-3.337
11,-0.952,-1.971
11,0.218,-5.038
11,0.957,-4.117
11,-1.831,-4.090
11,1.998,-3.185
11,0.264,-3.082
11,1.024,-2.639
11,0.178,-4.694
11,1.606,-3.093
11,-0.817,-3.333
11,0.034,-2.595
11,1.656,-3.485
11,2.372,-1.270
11,1.049,-6.092
11,1.403,-3.890
11,0.080,-3.209
11,-0.486,-3.956
11,1.346,-3.968
11,-2.551,-4.339
11,0.386,-3.502
11,1.504,-3.341
11,1.309,-3.903
11,0.327,-3.207
11,1.295,-4.108
11,-0.130,-2.473
11,-0.676,-3.365
11,0.734,-2.846
11,1.246,-4.067
12,3.975,2.397
12,1.308,2.201
12,1.452,2.481
12,1.694,3.058
12,2.754,1.706
12,2.193,1.817
12,2.200,3.711
12,2.688,1.845
12,1.409,1.913
12,3.674,2.776
12,0.429,2.275
12,2.393,3.017
12,0.691,3.348
12,1.557,0.922
12,2.889,3.399
12,4.582,0.585
12,2.849,1.327
12,3.061,2.691
12,2.621,1.101
12,3.893,1.979
12,2.357,1.471
12,1.259,3.228
12,1.819,-0.153
12,0.054,2.030
12,2.926,1.798
12,4.224,2.364
12,1.460,2.979
12,0.852,2.701
12,2.673,2.694
12,2.906,2.418
12,4.027,1.949
12,1.716,2.914
12,2.852,3.237
12,3.307,-0.538
12,2.305,1.140
12,2.727,1.198
12,0.941,1.796
12,1.041,2.902
12,2.873,2.093
12,0.646,1.225
12,1.991,3.889
12,2.682,0.922
12,2.594,2.138
12,0.607,2.744
12,2.101,1.342
12,1.588,1.024
12,2.734,3.113
12,1.691,3.488
